Rosalind_4122 Rosalind_5779
Rosalind_2988 Rosalind_7897
Rosalind_2988 Rosalind_7990
Rosalind_2988 Rosalind_2648
Rosalind_6478 Rosalind_4364
Rosalind_6478 Rosalind_2445
Rosalind_3921 Rosalind_1274
Rosalind_3921 Rosalind_6207
Rosalind_2289 Rosalind_2916
Rosalind_7186 Rosalind_3273
Rosalind_7186 Rosalind_4853
Rosalind_7186 Rosalind_0792
Rosalind_7186 Rosalind_3533
Rosalind_5407 Rosalind_5794
Rosalind_5407 Rosalind_1239
Rosalind_9542 Rosalind_8482
Rosalind_9542 Rosalind_9730
Rosalind_9542 Rosalind_2291
Rosalind_8163 Rosalind_4715
Rosalind_4340 Rosalind_5139
Rosalind_4659 Rosalind_5139
Rosalind_2226 Rosalind_4340
Rosalind_4364 Rosalind_4674
Rosalind_4364 Rosalind_6443
Rosalind_9730 Rosalind_3472
Rosalind_0955 Rosalind_4674
Rosalind_0955 Rosalind_6443
Rosalind_4998 Rosalind_1052
Rosalind_4998 Rosalind_9995
Rosalind_4998 Rosalind_2163
Rosalind_4998 Rosalind_1861
Rosalind_4998 Rosalind_0417
Rosalind_3273 Rosalind_5407
Rosalind_3273 Rosalind_6205
Rosalind_9315 Rosalind_3609
Rosalind_9315 Rosalind_3237
Rosalind_9315 Rosalind_2641
Rosalind_9712 Rosalind_4998
Rosalind_3998 Rosalind_3921
Rosalind_4674 Rosalind_1274
Rosalind_4674 Rosalind_6207
Rosalind_7866 Rosalind_4045
Rosalind_5139 Rosalind_2988
Rosalind_5139 Rosalind_4578
Rosalind_5139 Rosalind_6245
Rosalind_6443 Rosalind_4340
Rosalind_4853 Rosalind_5259
Rosalind_4853 Rosalind_1899
Rosalind_7552 Rosalind_4674
Rosalind_7552 Rosalind_6443
Rosalind_2742 Rosalind_7897
Rosalind_2742 Rosalind_7990
Rosalind_2742 Rosalind_2648
Rosalind_1434 Rosalind_4045
Rosalind_6412 Rosalind_0636
Rosalind_3671 Rosalind_9712
Rosalind_9995 Rosalind_5984
Rosalind_9995 Rosalind_4943
Rosalind_0636 Rosalind_1274
Rosalind_0636 Rosalind_6207
Rosalind_4715 Rosalind_1193
Rosalind_3188 Rosalind_5139
Rosalind_8073 Rosalind_9023
Rosalind_8073 Rosalind_1541
Rosalind_5984 Rosalind_2988
Rosalind_5984 Rosalind_4578
Rosalind_5984 Rosalind_6245
Rosalind_8268 Rosalind_9712
Rosalind_0877 Rosalind_9023
Rosalind_0877 Rosalind_1541
Rosalind_5288 Rosalind_4045
Rosalind_2185 Rosalind_5794
Rosalind_2185 Rosalind_1239
Rosalind_1557 Rosalind_5984
Rosalind_1557 Rosalind_4943
Rosalind_7990 Rosalind_6478
Rosalind_7990 Rosalind_5652
Rosalind_2450 Rosalind_2988
Rosalind_2450 Rosalind_4578
Rosalind_2450 Rosalind_6245
Rosalind_5794 Rosalind_5138
Rosalind_5794 Rosalind_0793
Rosalind_2163 Rosalind_8482
Rosalind_2163 Rosalind_9730
Rosalind_2163 Rosalind_2291
Rosalind_2648 Rosalind_7124
Rosalind_2648 Rosalind_8115
Rosalind_9023 Rosalind_4659
Rosalind_9023 Rosalind_8268
Rosalind_4673 Rosalind_4715
Rosalind_2445 Rosalind_1274
Rosalind_2445 Rosalind_6207
Rosalind_9991 Rosalind_1193
Rosalind_1274 Rosalind_5288
Rosalind_1978 Rosalind_0636
Rosalind_1193 Rosalind_8482
Rosalind_1193 Rosalind_9730
Rosalind_1193 Rosalind_2291
Rosalind_5779 Rosalind_2226
Rosalind_5779 Rosalind_8271
Rosalind_5779 Rosalind_9041
Rosalind_1842 Rosalind_7897
Rosalind_1842 Rosalind_7990
Rosalind_1842 Rosalind_2648
Rosalind_4046 Rosalind_4045
Rosalind_8271 Rosalind_4340
Rosalind_8115 Rosalind_5794
Rosalind_8115 Rosalind_1239
Rosalind_1861 Rosalind_0955
Rosalind_1861 Rosalind_5218
Rosalind_1861 Rosalind_4673
Rosalind_1861 Rosalind_1842
Rosalind_5923 Rosalind_8482
Rosalind_5923 Rosalind_9730
Rosalind_5923 Rosalind_2291
Rosalind_0792 Rosalind_4715
Rosalind_3492 Rosalind_2916
Rosalind_5652 Rosalind_9023
Rosalind_5652 Rosalind_1541
Rosalind_3237 Rosalind_2226
Rosalind_3237 Rosalind_8271
Rosalind_3237 Rosalind_9041
Rosalind_5739 Rosalind_4046
Rosalind_1899 Rosalind_3472
Rosalind_0263 Rosalind_5984
Rosalind_0263 Rosalind_4943
Rosalind_9594 Rosalind_5288
Rosalind_1541 Rosalind_7979
Rosalind_5138 Rosalind_5288
Rosalind_3533 Rosalind_8073
Rosalind_3533 Rosalind_5923
Rosalind_7979 Rosalind_4045
Rosalind_2291 Rosalind_5139
Rosalind_1377 Rosalind_5288
Rosalind_0793 Rosalind_3609
Rosalind_0793 Rosalind_3237
Rosalind_0793 Rosalind_2641
Rosalind_7118 Rosalind_3609
Rosalind_7118 Rosalind_3237
Rosalind_7118 Rosalind_2641
Rosalind_9041 Rosalind_5288
